70,70,70,70,70,78
60,60,60,60,60,68
54,54,54,54,54,59
48,48,48,48,48,55
40,40,40,40,40,46
38,38,38,38,38,44
32,32,32,32,32,38
28,28,28,28,28,36
24,24,24,24,24,30
19,19,19,19,19,24
15,15,15,15,15,23
7,7,7,7,7,12
70,70,70,70,0,6
60,60,60,60,68,73
54,54,54,54,59,64
48,48,48,48,55,62
40,40,40,40,46,54
38,38,38,38,44,51
32,32,32,32,38,43
28,28,28,28,36,44
24,24,24,24,30,35
19,19,19,19,24,30
15,15,15,15,23,31
7,7,7,7,12,18
70,70,70,0,6,11
60,60,60,68,0,6
54,54,54,59,64,72
48,48,48,55,62,68
40,40,40,46,54,61
38,38,38,44,51,59
32,32,32,38,43,51
28,28,28,36,44,52
24,24,24,30,35,43
19,19,19,24,30,37
15,15,15,23,31,37
7,7,7,12,18,24
70,70,0,6,11,17
60,60,68,0,6,13
54,54,59,64,0,8
48,48,55,62,68,75
40,40,46,54,61,68
38,38,44,51,59,67
32,32,38,43,51,56
28,28,36,44,52,60
24,24,30,35,43,49
19,19,24,30,37,43
15,15,23,31,37,43
7,7,12,18,24,32
70,0,6,11,17,25
60,68,0,6,13,18
54,59,64,0,8,14
48,55,62,68,0,8
40,46,54,61,68,74
38,44,51,59,67,75
32,38,43,51,56,62
28,36,44,52,60,68
24,30,35,43,49,57
19,24,30,37,43,50
15,23,31,37,43,48
7,12,18,24,32,37
0,6,11,17,25,32
68,0,6,13,18,26
59,64,0,8,14,19
55,62,68,0,8,15
46,54,61,68,0,5
44,51,59,67,75,80
38,43,51,56,62,68
36,44,52,60,68,74
30,35,43,49,57,65
24,30,37,43,50,55
23,31,37,43,48,54
12,18,24,32,37,42
6,11,17,25,32,39
0,6,13,18,26,31
64,0,8,14,19,26
62,68,0,8,15,22
54,61,68,0,5,13
51,59,67,75,0,8
43,51,56,62,68,73
44,52,60,68,74,81
35,43,49,57,65,72
30,37,43,50,55,60
31,37,43,48,54,61
18,24,32,37,42,49
11,17,25,32,39,44
6,13,18,26,31,36
0,8,14,19,26,32
68,0,8,15,22,30
61,68,0,5,13,18
59,67,75,0,8,14
51,56,62,68,0,8
52,60,68,74,75,82
43,49,57,65,72,77
37,43,50,55,60,68
37,43,48,54,61,68
24,32,37,42,49,57
17,25,32,39,44,49
13,18,26,31,36,44
8,14,19,26,32,40
0,8,15,22,30,35
68,0,5,13,18,23
67,75,0,8,14,19
56,62,68,0,8,16
60,68,74,75,0,7
49,57,65,72,75,83
43,50,55,60,68,76
43,48,54,61,68,75
32,37,42,49,57,62
25,32,39,44,49,55
18,26,31,36,44,49
14,19,26,32,40,45
8,15,22,30,35,41
0,5,13,18,23,28
75,0,8,14,19,27
62,68,0,8,16,21
68,74,75,0,7,15
57,65,72,75,0,5
50,55,60,68,75,82
48,54,61,68,75,81
37,42,49,57,62,70
32,39,44,49,55,63
26,31,36,44,49,57
19,26,32,40,45,52
15,22,30,35,41,48
5,13,18,23,28,36
0,8,14,19,27,35
68,0,8,16,21,29
74,75,0,7,15,23
65,72,75,0,5,11
55,60,68,75,0,6
54,61,68,75,75,81
42,49,57,62,70,78
39,44,49,55,63,71
31,36,44,49,57,62
26,32,40,45,52,58
22,30,35,41,48,54
13,18,23,28,36,43
8,14,19,27,35,43
0,8,16,21,29,36
75,0,7,15,23,31
72,75,0,5,11,19
60,68,75,0,6,11
61,68,75,75,0,5
49,57,62,70,75,80
44,49,55,63,71,76
36,44,49,57,62,68
32,40,45,52,58,63
30,35,41,48,54,60
18,23,28,36,43,49
14,19,27,35,43,49
8,16,21,29,36,41
0,7,15,23,31,39
75,0,5,11,19,24
68,75,0,6,11,18
68,75,75,0,5,11
57,62,70,75,0,7
49,55,63,71,0,7
44,49,57,62,68,74
40,45,52,58,63,70
35,41,48,54,60,68
23,28,36,43,49,56
19,27,35,43,49,57
16,21,29,36,41,49
7,15,23,31,39,44
0,5,11,19,24,32
75,0,6,11,18,26
75,75,0,5,11,18
62,70,75,0,7,14
55,63,71,0,7,15
49,57,62,68,0,7
45,52,58,63,70,77
41,48,54,60,68,75
28,36,43,49,56,64
27,35,43,49,57,62
21,29,36,41,49,55
15,23,31,39,44,49
5,11,19,24,32,38
0,6,11,18,26,32
75,0,5,11,18,26
70,75,0,7,14,22
63,71,0,7,15,23
57,62,68,0,7,12
52,58,63,70,0,6
48,54,60,68,75,81
36,43,49,56,64,71
35,43,49,57,62,68
29,36,41,49,55,61
23,31,39,44,49,56
11,19,24,32,38,45
6,11,18,26,32,40
0,5,11,18,26,33
75,0,7,14,22,30
71,0,7,15,23,30
62,68,0,7,12,20
58,63,70,0,6,11
54,60,68,75,0,7
43,49,56,64,71,76
43,49,57,62,68,74
36,41,49,55,61,69
31,39,44,49,56,63
19,24,32,38,45,50
11,18,26,32,40,46
5,11,18,26,33,38
0,7,14,22,30,38
0,7,15,23,30,37
68,0,7,12,20,26
63,70,0,6,11,16
60,68,75,0,7,12
49,56,64,71,0,7
49,57,62,68,74,79
41,49,55,61,69,76
39,44,49,56,63,70
24,32,38,45,50,57
18,26,32,40,46,52
11,18,26,33,38,43
7,14,22,30,38,44
7,15,23,30,37,42
0,7,12,20,26,32
70,0,6,11,16,22
68,75,0,7,12,20
56,64,71,0,7,12
57,62,68,74,0,7
49,55,61,69,75,83
44,49,56,63,70,76
32,38,45,50,57,64
26,32,40,46,52,58
18,26,33,38,43,51
14,22,30,38,44,50
15,23,30,37,42,49
7,12,20,26,32,39
0,6,11,16,22,28
75,0,7,12,20,26
64,71,0,7,12,18
62,68,74,0,7,15
55,61,69,75,0,6
49,56,63,70,75,81
38,45,50,57,64,71
32,40,46,52,58,65
26,33,38,43,51,58
22,30,38,44,50,55
23,30,37,42,49,54
12,20,26,32,39,44
6,11,16,22,28,35
0,7,12,20,26,33
71,0,7,12,18,23
68,74,0,7,15,20
61,69,75,0,6,13
56,63,70,75,0,8
45,50,57,64,71,76
40,46,52,58,65,73
33,38,43,51,58,66
30,38,44,50,55,60
30,37,42,49,54,62
20,26,32,39,44,49
11,16,22,28,35,40
7,12,20,26,33,38
0,7,12,18,23,29
74,0,7,15,20,26
69,75,0,6,13,19
63,70,75,0,8,14
50,57,64,71,0,8
46,52,58,65,73,81
38,43,51,58,66,74
38,44,50,55,60,68
37,42,49,54,62,70
26,32,39,44,49,56
16,22,28,35,40,45
12,20,26,33,38,45
7,12,18,23,29,36
0,7,15,20,26,31
75,0,6,13,19,24
70,75,0,8,14,22
57,64,71,0,8,13
52,58,65,73,0,8
43,51,58,66,74,82
44,50,55,60,68,75
42,49,54,62,70,78
32,39,44,49,56,64
22,28,35,40,45,52
20,26,33,38,45,51
12,18,23,29,36,44
7,15,20,26,31,37
0,6,13,19,24,29
75,0,8,14,22,27
64,71,0,8,13,20
58,65,73,0,8,15
51,58,66,74,0,5
50,55,60,68,75,80
49,54,62,70,75,83
39,44,49,56,64,70
28,35,40,45,52,57
26,33,38,45,51,56
18,23,29,36,44,51
15,20,26,31,37,45
6,13,19,24,29,35
0,8,14,22,27,34
71,0,8,13,20,25
65,73,0,8,15,23
58,66,74,0,5,10
55,60,68,75,0,8
54,62,70,75,0,5
44,49,56,64,70,78
35,40,45,52,57,65
33,38,45,51,56,61
23,29,36,44,51,58
20,26,31,37,45,53
13,19,24,29,35,40
8,14,22,27,34,40
0,8,13,20,25,31
73,0,8,15,23,28
66,74,0,5,10,15
60,68,75,0,8,15
62,70,75,0,5,11
49,56,64,70,0,6
40,45,52,57,65,71
38,45,51,56,61,68
29,36,44,51,58,64
26,31,37,45,53,59
19,24,29,35,40,47
14,22,27,34,40,48
8,13,20,25,31,36
0,8,15,23,28,34
74,0,5,10,15,23
68,75,0,8,15,20
70,75,0,5,11,19
56,64,70,0,6,12
45,52,57,65,0,5
45,51,56,61,68,74
36,44,51,58,64,69
31,37,45,53,59,65
24,29,35,40,47,53
22,27,34,40,48,53
13,20,25,31,36,42
8,15,23,28,34,40
0,5,10,15,23,31
75,0,8,15,20,25
75,0,5,11,19,26
64,70,0,6,12,17
52,57,65,0,5,13
51,56,61,68,0,6
44,51,58,64,69,74
37,45,53,59,65,72
29,35,40,47,53,60
27,34,40,48,53,61
20,25,31,36,42,47
15,23,28,34,40,48
5,10,15,23,31,38
0,8,15,20,25,33
0,5,11,19,26,33
70,0,6,12,17,22
57,65,0,5,13,21
56,61,68,0,6,12
51,58,64,69,0,7
45,53,59,65,72,78
35,40,47,53,60,65
34,40,48,53,61,68
25,31,36,42,47,55
23,28,34,40,48,56
10,15,23,31,38,43
8,15,20,25,33,38
5,11,19,26,33,41
0,6,12,17,22,28
65,0,5,13,21,29
61,68,0,6,12,17
58,64,69,0,7,15
53,59,65,72,0,8
40,47,53,60,65,72
40,48,53,61,68,73
31,36,42,47,55,63
28,34,40,48,56,62
15,23,31,38,43,49
15,20,25,33,38,45
11,19,26,33,41,49
6,12,17,22,28,36
0,5,13,21,29,36
68,0,6,12,17,22
64,69,0,7,15,21
59,65,72,0,8,15
47,53,60,65,0,8
48,53,61,68,73,80
36,42,47,55,63,71
34,40,48,56,62,70
23,31,38,43,49,56
20,25,33,38,45,50
19,26,33,41,49,54
12,17,22,28,36,43
5,13,21,29,36,41
0,6,12,17,22,30
69,0,7,15,21,26
65,72,0,8,15,21
53,60,65,0,8,14
53,61,68,73,0,5
42,47,55,63,71,79
40,48,56,62,70,75
31,38,43,49,56,62
25,33,38,45,50,55
26,33,41,49,54,61
17,22,28,36,43,48
13,21,29,36,41,47
6,12,17,22,30,36
0,7,15,21,26,32
72,0,8,15,21,29
60,65,0,8,14,22
61,68,73,0,5,11
47,55,63,71,0,8
48,56,62,70,75,83
38,43,49,56,62,68
33,38,45,50,55,60
33,41,49,54,61,66
22,28,36,43,48,54
21,29,36,41,47,52
12,17,22,30,36,41
7,15,21,26,32,39
0,8,15,21,29,37
65,0,8,14,22,29
68,73,0,5,11,16
55,63,71,0,8,14
56,62,70,75,0,6
43,49,56,62,68,74
38,45,50,55,60,67
41,49,54,61,66,73
28,36,43,48,54,62
29,36,41,47,52,58
17,22,30,36,41,46
15,21,26,32,39,45
8,15,21,29,37,42
0,8,14,22,29,36
73,0,5,11,16,22
63,71,0,8,14,22
62,70,75,0,6,14
49,56,62,68,0,7
45,50,55,60,67,73
49,54,61,66,73,80
36,43,48,54,62,69
36,41,47,52,58,64
22,30,36,41,46,51
21,26,32,39,45,51
15,21,29,37,42,48
8,14,22,29,36,42
0,5,11,16,22,30
71,0,8,14,22,30
70,75,0,6,14,19
56,62,68,0,7,15
50,55,60,67,0,7
54,61,66,73,0,8
43,48,54,62,69,75
41,47,52,58,64,70
30,36,41,46,51,58
26,32,39,45,51,56
21,29,37,42,48,54
14,22,29,36,42,49
5,11,16,22,30,36
0,8,14,22,30,35
75,0,6,14,19,26
62,68,0,7,15,21
55,60,67,0,7,12
61,66,73,0,8,15
48,54,62,69,0,6
47,52,58,64,70,75
36,41,46,51,58,66
32,39,45,51,56,64
29,37,42,48,54,61
22,29,36,42,49,57
11,16,22,30,36,41
8,14,22,30,35,42
0,6,14,19,26,34
68,0,7,15,21,27
60,67,0,7,12,17
66,73,0,8,15,23
54,62,69,0,6,12
52,58,64,70,0,7
41,46,51,58,66,72
39,45,51,56,64,69
37,42,48,54,61,68
29,36,42,49,57,63
16,22,30,36,41,46
14,22,30,35,42,48
6,14,19,26,34,41
0,7,15,21,27,34
67,0,7,12,17,23
73,0,8,15,23,29
62,69,0,6,12,18
58,64,70,0,7,15
46,51,58,66,0,5
